"Таблица","№","Поле","Тип","Описание"
fs_file,31,ff_body_uuid,character varying,UUID для индикации о замене тела файла
ic_application,1,id,bigint,ID
ic_application,2,name__ru,character varying,"Name, languageSchema=ru"
ic_application,3,name__en,character varying,"Name, languageSchema=en"
ic_application,4,name,character varying,Name
ic_application,5,create_date,timestamp without time zone,Create date
ic_application,6,type_id,bigint,Тип объекта
ic_application,7,status,smallint,Status
ic_application,8,org_id,bigint,Подразделение
ic_application,9,user_id,bigint,Пользователь
ic_application,10,last_modified_date,timestamp without time zone,Last modified date
ic_application,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
ic_application,12,created_emp_id,bigint,"Сотрудник, создавший объект"
ic_application,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
ic_application,14,is_system,smallint,System object
ic_application,15,afl_doc_num,character varying,Номер документа
ic_application,16,afl_doc_data,timestamp without time zone,Дата документа
ic_application,17,afp_state_id,bigint,Состояние
ic_application,18,initiator_id,bigint,Клиент
ic_application,19,emp_id,bigint,Ответственный менеджер
ic_application,20,processing_steps_id,bigint,Текущий этап обработки
ic_application,21,temp_cont_turn,bigint,Промежуточный контейнер загрузки ОСВ
ic_application,22,cr_id,bigint,Ссылка на КЗ
ic_application,23,scp_tech_ctredit,bigint,Технология кредитования
ic_application,24,scp_business_segment,bigint,Клиентский сегмент
ic_application,25,client_type_id,bigint,Тип клиента
ic_application,26,gsl_data_cont_id,bigint,Ссылка на контейнер данных ГСЛ
ic_application,27,scp_arm_manager_id,bigint,Сотрудник АРМ
ic_application,28,req_type_id,bigint,Класс заявки
ic_application,29,credit_logic_id,bigint,Логика кредитования
ic_application,30,gsl_limit,numeric,Общий лимит по ГСЛ
ic_application,31,pricing_id,bigint,Ценообразование
ic_application,32,scp_gsl_name_str,character varying,Наименование ГСЛ
ic_application,33,resp_cond_coord,bigint,Голосующий (индивидуальные условия)
ic_application,34,curator_head_id,bigint,Куратор ГО
ic_application,35,resp_cond_coord_str,character varying,_Голосующий (строка)
ic_application,36,is_auto_creation,smallint,Создана автоматически
ic_application,37,industry_code_id,bigint,Отрасль клиента
ic_application,38,app_obj_id,bigint,Ссылка на заявку СКП (для автоматически созданных)
ic_application,39,deleg_region_id,bigint,Регион клиента
ic_application,40,scp_proc_steds_id,bigint,Этап обработки
ic_application,41,is_directed_to_process,smallint,Направлена по процессу
ic_application,42,scp_product_str,character varying,Продукт (строка)
ic_application,43,is_state_program,smallint,Применение госпрограммы
ic_application,44,cred_technology_str,character varying,Технология кредитования (строка)
ic_application,45,is_na_active,smallint,Интеграция с НА по получению кредитных обязательств активна
ic_application,46,is_fin_activ_newsub,smallint,Финансирование деятельности в НС
ic_application,47,prelim_gsl_calc_id,bigint,Ссылка на предварительный расчет
ic_application,48,scp_rejection_client_id,bigint,Причина отказа Клиента
ic_application,49,reason_refusal_id,bigint,Причина отказа Банка
ic_application,50,is_ic_withdrawn,smallint,Отзыв Индивидуальных условий
ic_application,51,scp_rejection_comment,text,Комментарий по отказу
ic_application,52,is_button_refuse,smallint,Отказ по кнопке
mler_application,1,id,bigint,ID
mler_application,2,name__ru,character varying,"Name, languageSchema=ru"
mler_application,3,name__en,character varying,"Name, languageSchema=en"
mler_application,4,name,character varying,Name
mler_application,5,create_date,timestamp without time zone,Create date
mler_application,6,type_id,bigint,Тип объекта
mler_application,7,status,smallint,Status
mler_application,8,org_id,bigint,Подразделение
mler_application,9,user_id,bigint,Пользователь
mler_application,10,last_modified_date,timestamp without time zone,Last modified date
mler_application,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
mler_application,12,created_emp_id,bigint,"Сотрудник, создавший объект"
mler_application,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
mler_application,14,is_system,smallint,System object
mler_application,15,afl_doc_num,character varying,Номер документа
mler_application,16,afl_doc_data,timestamp without time zone,Дата документа
mler_application,17,afp_state_id,bigint,Состояние
mler_application,18,initiator_id,bigint,Клиент
mler_application,19,emp_id,bigint,Ответственный менеджер
mler_application,20,processing_steps_id,bigint,Текущий этап обработки
mler_application,21,temp_cont_turn,bigint,Промежуточный контейнер загрузки ОСВ
mler_application,22,cr_id,bigint,Ссылка на КЗ
mler_application,23,scp_tech_ctredit,bigint,Технология кредитования
mler_application,24,scp_business_segment,bigint,Клиентский сегмент
mler_application,25,client_type_id,bigint,Тип клиента
mler_application,26,lim_sum,numeric,Сумма заявки
mler_application,27,gsl_data_cont_id,bigint,Ссылка на контейнер данных ГСЛ
mler_application,28,scp_cheif_cm_id,bigint,Руководитель КМ
mler_application,29,mler_decis_id,bigint,Принятое решение
mler_application,30,mler_client_name,character varying,_Владелец лимита (не исп)
mler_application,31,is_out_app,smallint,Заявка есть в Гриндате
mler_application,32,chief_initiator_id,bigint,Руководитель инициатора
mler_application,33,req_type_id,bigint,Класс заявки
mler_application,34,execut_admin_id,bigint,Сотрудник СМБ ДРСМБ
mler_application,35,mler_signer_id,bigint,Подписант (УО)
mler_application,36,client_section_id,bigint,Сегмент в соответствии с ВКР
mler_application,37,project_decis_id,bigint,Ссылка на проект решения
mler_application,38,date_amd_decision,timestamp without time zone,Дата решения
mler_application,39,num_amd_decision,character varying,Номер решения (строка)
mler_application,40,credit_logic_id,bigint,Логика кредитования
mler_application,41,gsl_limit,numeric,Сумма общего лимита
mler_application,42,loan_terms,bigint,Срок лимита
mler_application,43,decis_use_limit,smallint,Ограничение по применению Решения
mler_application,44,signed_risks_date,timestamp without time zone,Дата подписания
mler_application,45,deleg_region_id,bigint,Регион клиента
mler_application,46,decis_use_limit_text,text,Ограничение по применению Решения (текст)
mler_application,47,is_decision_signed,smallint,Решение подписано
mler_application,48,is_decision_approved,smallint,Решение согласовано КМ
mler_application,49,scp_gsl_name_str,character varying,Владелец лимита
mler_application,50,scp_proc_steds_id,bigint,Этап обработки
mler_application,51,industry_code_id,bigint,Отрасль клиента
mler_application,52,scp_product_str,character varying,Продукт (строка)
mler_application,53,is_state_program,smallint,Применение госпрограммы
mler_application,54,cred_technology_str,character varying,Технология кредитования (строка)
mler_application,55,app_product_id,bigint,Продукт
mler_application,56,is_fin_activ_newsub,smallint,Финансирование деятельности в НС
mler_application,57,prelim_gsl_calc_id,bigint,Ссылка на предварительный расчет
ms_0golbfqyrdq4im6jf6ajivwy9,1,id,bigint,ID
ms_0golbfqyrdq4im6jf6ajivwy9,2,obj_id,bigint,"Link to object, sysObjTypeAttr 3712195"
ms_0n8ohjyx7oszo6a47ca9g0s6f,1,id,bigint,ID
ms_0n8ohjyx7oszo6a47ca9g0s6f,2,obj_id,bigint,"Link to object, sysObjTypeAttr 8751793"
ms_0oc5mpme8nklimjy77sai9gf1,1,id,bigint,ID
ms_0oc5mpme8nklimjy77sai9gf1,2,obj_id,bigint,"Link to object, sysObjTypeAttr 3714869"
ms_1fd5jp86pabxu9na4knwphvyr,1,id,bigint,ID
ms_1fd5jp86pabxu9na4knwphvyr,2,obj_id,bigint,"Link to object, sysObjTypeAttr 3714881"
ms_333s6j5jn97srp008gyi3zueo,1,id,bigint,ID
ms_333s6j5jn97srp008gyi3zueo,2,obj_id,bigint,"Link to object, sysObjTypeAttr 8751957"
ms_39qrctc1n8efr9axiukjssgzl,1,id,bigint,ID
ms_39qrctc1n8efr9axiukjssgzl,2,obj_id,bigint,"Link to object, sysObjTypeAttr 3817898"
ms_64cm5ded37z58x0fyt5lgvhc7,1,id,bigint,ID
ms_64cm5ded37z58x0fyt5lgvhc7,2,obj_id,bigint,"Link to object, sysObjTypeAttr 4217072"
ms_965j58mgwkpomnuooc29dlq9f,1,id,bigint,ID
ms_965j58mgwkpomnuooc29dlq9f,2,obj_id,bigint,"Link to object, sysObjTypeAttr 9029886"
ms_9k60rv4p0oaf3c702f2l1gj77,1,id,bigint,ID
ms_9k60rv4p0oaf3c702f2l1gj77,2,obj_id,bigint,"Link to object, sysObjTypeAttr 9029887"
ms_d1oakp9uq175ak3dbhpzbu81d,1,id,bigint,ID
ms_d1oakp9uq175ak3dbhpzbu81d,2,obj_id,bigint,"Link to object, sysObjTypeAttr 8775851"
ms_dlggiqkhqj46rhq1lrgryim7c,1,id,bigint,ID
ms_dlggiqkhqj46rhq1lrgryim7c,2,obj_id,bigint,"Link to object, sysObjTypeAttr 9035998"
ms_dxsh6488ihf77xmsd43dwby6k,1,id,bigint,ID
ms_dxsh6488ihf77xmsd43dwby6k,2,obj_id,bigint,"Link to object, sysObjTypeAttr 3190710"
ms_e5lum3lbateqhx8wkgtstxdf9,1,id,bigint,ID
ms_e5lum3lbateqhx8wkgtstxdf9,2,obj_id,bigint,"Link to object, sysObjTypeAttr 8751779"
offices_psb,1,id,bigint,ID
offices_psb,2,name__ru,character varying,"Name, languageSchema=ru"
offices_psb,3,name__en,character varying,"Name, languageSchema=en"
offices_psb,4,name,character varying,Name
offices_psb,5,create_date,timestamp without time zone,Create date
offices_psb,6,type_id,bigint,Тип объекта
offices_psb,7,status,smallint,Status
offices_psb,8,org_id,bigint,Подразделение
offices_psb,9,user_id,bigint,Пользователь
offices_psb,10,last_modified_date,timestamp without time zone,Last modified date
offices_psb,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
offices_psb,12,created_emp_id,bigint,"Сотрудник, создавший объект"
offices_psb,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
offices_psb,14,is_system,smallint,System object
offices_psb,15,parent_org_id,bigint,Родительское подразделение
offices_psb,16,short_name__ru,character varying,"Краткое наименование, languageSchema=ru"
offices_psb,17,short_name__en,character varying,"Краткое наименование, languageSchema=en"
offices_psb,18,short_name,character varying,Краткое наименование
offices_psb,19,view_id,bigint,Вид подразделения
offices_psb,20,main_org,bigint,Обособленное подразделение
offices_psb,21,org_company,bigint,Контрагент подразделения
offices_psb,22,ident,character varying,Сист. Идентификатор
offices_psb,23,office_id,character varying,ID офиса
offices_psb,24,office_name,character varying,Наименование офиса
offices_psb,25,office_address,character varying,Адрес офис
offices_psb,26,office_code,character varying,Код региона офиса
offices_psb,27,office_date_from,timestamp without time zone,Дата открытия офиса
offices_psb,28,office_date_to,timestamp without time zone,Дата закрытия офиса
offices_psb,29,office_type,character varying,Тип офиса
offices_psb,30,office_status,character varying,Профиль обслуживания офиса
offices_psb,31,office_sign_active,smallint,Признак действия офиса
offices_psb,32,psb_dep_org,bigint,Организация
offices_psb,33,rout_office_id,bigint,Офис для маршрутизации
offices_psb,34,lvl_org,bigint,Уровень подразделения
offices_psb,35,feat_org,smallint,Признак: 1 - ГО
offices_psb,36,is_region,smallint,Признак МО
offices_psb,37,work_org,smallint,Признак: 1 - работает; 0 - закрыто
offices_psb,38,etl_marker_org,smallint,Маркер загрузки из внешней системы
offices_psb,39,id_parent_org,bigint,Внешний ИД родителя
offices_psb,40,id_depart_org,bigint,Внешний ИД Департамента
offices_psb,41,id_parent_corr_org,bigint,"ID ДО или филиала, которому подчинено ДО"
participant_app,1,id,bigint,ID
participant_app,2,name__ru,character varying,"Name, languageSchema=ru"
participant_app,3,name,character varying,Name
participant_app,4,create_date,timestamp without time zone,Create date
participant_app,5,type_id,bigint,Тип объекта
participant_app,6,status,smallint,Status
participant_app,7,org_id,bigint,Подразделение
participant_app,8,user_id,bigint,Пользователь
participant_app,9,last_modified_date,timestamp without time zone,Last modified date
participant_app,10,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
participant_app,11,created_emp_id,bigint,"Сотрудник, создавший объект"
participant_app,12,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
participant_app,13,is_system,smallint,System object
participant_app,14,app_obj_id,bigint,Ссылка на заявку
participant_app,15,borrower_id,bigint,Ссылка на лицо
participant_app,16,is_current,smallint,Действующий
participant_app,17,is_check_need,smallint,Необходимость проверки
participant_app,18,part_type_id,bigint,Тип участника сделки
participant_app,19,is_permanent_role,smallint,Неизменяемость роли для КМ (тех.)
participant_app,20,sec_date_check,timestamp without time zone,Дата проверки СЭБ (итоговая)
participant_app,21,sec_appeal_date,timestamp without time zone,Дата апелляции
participant_app,22,is_sec_appeal,smallint,Апелляция
participant_app,23,is_antifrod_success,smallint,Успешность проверки антифрод
participant_app,24,is_perm_role_for_head,smallint,Неизменяемость роли для Рук-ля КМ (тех.)
participant_app,25,emp_appeal_id,bigint,Ответственный за апелляцию
participant_app,26,is_create_check,smallint,Создать автопроверки (тех.)
participant_app,27,is_add_manual,smallint,Добавлен вручную
participant_app,28,check_role_part_str,character varying,Проверяемые роли (строковый)
participant_app,29,is_borrower,smallint,Заемщик
participant_app,30,is_related_entity,smallint,"Лицо, связанное с заемщиком"
participant_app,31,is_affiliate,smallint,Аффилированное лицо
participant_app,32,is_pledger,smallint,Залогодатель
participant_app,33,is_guarantor,smallint,Поручитель
participant_app,34,return_code_txt,text,Текст ошибки
participant_app,35,id_siam_str,character varying,Идентификатор отчета
participant_app,36,consentbkidate,timestamp without time zone,Дата согласия БКИ
participant_app,37,is_bch_form_error,smallint,Ошибки при формировании БКИ (тех.)
participant_app,38,is_seller,smallint,Продавец
participant_app,39,scp_link_particip_id,bigint,Ссылка на участника ГСЛ
participant_app,40,particip_sec_id,bigint,Ссылка на экспертизу СЭБ по участнику
participant_app,41,is_guar_prov_balhold,smallint,Является балансодержателем или держателем основной выручки
participant_app,42,is_state_affilation,smallint,Заёмщик является унитарным предприятием или государственная структура имеет контрольный пакет
participant_app,43,sec_check_auto_date,timestamp without time zone,Дата завершения автопроверок
participant_app,44,bch_refuse,smallint,Отказ от БКИ
participant_app,45,bch_record_link,character varying,Ссылка на отчет БКИ
participant_app,46,app_obj_person_conn_id,bigint,Ссылка на заявку (для связанных ФЛ)
participant_app,47,name__en,character varying,"Name, languageSchema=en"
participant_app,48,obj_owner_id,bigint,Ссылка на объект владелец
participant_app,49,is_director,smallint,ЕИО
participant_app,50,is_actual_owner,smallint,Фактический собственник
participant_app,51,is_founder,smallint,Учредитель
participant_app,52,is_legal_person,smallint,"ЮЛ, которое представляет Заемщик ФЛ"
participant_app,53,bki_status,character varying,Состояние БКИ
prod_change_params,1,id,bigint,ID
prod_change_params,2,name__ru,character varying,"Name, languageSchema=ru"
prod_change_params,3,name__en,character varying,"Name, languageSchema=en"
prod_change_params,4,name,character varying,Name
prod_change_params,5,create_date,timestamp without time zone,Create date
prod_change_params,6,type_id,bigint,Тип объекта
prod_change_params,7,status,smallint,Status
prod_change_params,8,org_id,bigint,Подразделение
prod_change_params,9,user_id,bigint,Пользователь
prod_change_params,10,last_modified_date,timestamp without time zone,Last modified date
prod_change_params,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
prod_change_params,12,created_emp_id,bigint,"Сотрудник, создавший объект"
prod_change_params,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
prod_change_params,14,is_system,smallint,System object
prod_change_params,15,product_pricing_id,bigint,Ценообразование по продукту
prod_change_params,16,change_param_dict_id,bigint,Изменяемый параметр
prod_change_params,17,scp_new_cond,character varying,"Предлагаемые условия, %"
prod_change_params,18,scp_old_cond_val,character varying,"Предлагаемые условия, руб."
prod_change_params,19,scp_old_cond,character varying,"Текущие условия, %"
prod_change_params,20,scp_new_cond_val,character varying,"Текущие условия, руб."
prod_change_params,21,value_comment,character varying,Комментарий к значению
prod_change_params,22,link_card_obj_id,bigint,Ссылка на объект
prod_change_params,23,com_val_proc,numeric,Размер  (%) текущий
prod_change_params,24,payment_schedule_id,bigint,Порядок выплаты
prod_change_params,25,pay_reward_cond_id,bigint,Условие уплаты вознаграждения за предоставление банковской гарантии (текущее)
prod_change_params,26,sum_pay_type_id,bigint,Вид суммы для уплаты комиссии
prod_change_params,27,comm_date_pay_id,bigint,Дата уплаты комиссии
prod_change_params,28,bank_val_sum,numeric,Размер (руб) текущий
prod_change_params,29,new_bank_val_sum,numeric,Размер (руб) предлагаемый
prod_change_params,30,new_pay_reward_cond_id,bigint,Условие уплаты вознаграждения за предоставление банковской гарантии (новое)
prod_change_params,31,new_com_val_proc,numeric,Размер (%) предлагаемый
prod_change_params,32,scp_comiss_size_str,character varying,_/годовых
prod_change_params,33,new_comiss_size_str,character varying,_/годовых (предл)
prod_change_params,34,is_add_manual,smallint,Добавлен вручную
prod_change_params,35,is_auto_creation,smallint,Создан автоматически
prod_commissions,1,id,bigint,ID
prod_commissions,2,name__ru,character varying,"Name, languageSchema=ru"
prod_commissions,3,name__en,character varying,"Name, languageSchema=en"
prod_commissions,4,name,character varying,Name
prod_commissions,5,create_date,timestamp without time zone,Create date
prod_commissions,6,type_id,bigint,Тип объекта
prod_commissions,7,status,smallint,Status
prod_commissions,8,org_id,bigint,Подразделение
prod_commissions,9,user_id,bigint,Пользователь
prod_commissions,10,last_modified_date,timestamp without time zone,Last modified date
prod_commissions,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
prod_commissions,12,created_emp_id,bigint,"Сотрудник, создавший объект"
prod_commissions,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
prod_commissions,14,is_system,smallint,System object
prod_commissions,15,prod_comm_dict_id,bigint,Комиссия
prod_commissions,16,scp_comiss_size_str,character varying,Размер комиссии (строка)
prod_commissions,17,scp_payment_shedule_str,character varying,Порядок выплаты
prod_commissions,18,com_val_proc,numeric,Размер комиссии (%)
prod_commissions,19,value_comment,character varying,Комментарий к значению
prod_commissions,20,link_card_obj_id,bigint,Ссылка на объект
prod_commissions,21,is_for_state_program,smallint,Комиссия для госпрограммы
prod_commissions,22,comm_date_pay_id,bigint,Дата уплаты комиссии
prod_commissions,23,sum_pay_type_id,bigint,Вид суммы для уплаты комиссии
prod_commissions,24,payment_schedule_id,bigint,Порядок выплаты
prod_commissions,25,is_from_pricing,smallint,Добавлен из ЦО
prod_commissions,26,is_add_manual,smallint,Добавлена вручную
prod_commissions,27,is_current_conds,smallint,Скопировано с предыдущего ЦО
prod_commissions,28,commission_out_of_dict,smallint,Комиссии нет в справочнике
prod_commissions,29,bank_val_sum,numeric,Размер (руб)
prod_guarantees,1,id,bigint,ID
prod_guarantees,2,name__ru,character varying,"Name, languageSchema=ru"
prod_guarantees,3,name__en,character varying,"Name, languageSchema=en"
prod_guarantees,4,name,character varying,Name
prod_guarantees,5,create_date,timestamp without time zone,Create date
prod_guarantees,6,type_id,bigint,Тип объекта
prod_guarantees,7,status,smallint,Status
prod_guarantees,8,org_id,bigint,Подразделение
prod_guarantees,9,user_id,bigint,Пользователь
prod_guarantees,10,last_modified_date,timestamp without time zone,Last modified date
prod_guarantees,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
prod_guarantees,12,created_emp_id,bigint,"Сотрудник, создавший объект"
prod_guarantees,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
prod_guarantees,14,is_system,smallint,System object
prod_guarantees,15,link_card_obj_id,bigint,Ссылка на объект
prod_guarantees,16,prod_guarant_dict_id,bigint,Гарантия
prod_guarantees,17,bank_val_proc,numeric,Размер (% годовых)
prod_guarantees,18,bank_val_sum,numeric,Размер (руб)
prod_guarantees,19,guarantee_type_id,bigint,Вид гарантии
prod_guarantees,20,is_from_pricing,smallint,Добавлен из ЦО
prod_guarantees,21,is_current_conds,smallint,Скопировано с предыдущего ЦО
product_pricing,1,id,bigint,ID
product_pricing,2,name__ru,character varying,"Name, languageSchema=ru"
product_pricing,3,name__en,character varying,"Name, languageSchema=en"
product_pricing,4,name,character varying,Name
product_pricing,5,create_date,timestamp without time zone,Create date
product_pricing,6,type_id,bigint,Тип объекта
product_pricing,7,status,smallint,Status
product_pricing,8,org_id,bigint,Подразделение
product_pricing,9,user_id,bigint,Пользователь
product_pricing,10,last_modified_date,timestamp without time zone,Last modified date
product_pricing,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
product_pricing,12,created_emp_id,bigint,"Сотрудник, создавший объект"
product_pricing,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
product_pricing,14,is_system,smallint,System object
product_pricing,15,pricing_card_id,bigint,Карточка ценообразования (цо)
product_pricing,16,owner_object_id,bigint,Объект ценообразования (ЦО)
product_pricing,17,scp_is_individual,smallint,Индивидуальные ценовые условия
product_pricing,18,scp_calc_rate_val,numeric,Справочно: расчетная ставка
product_pricing,19,scp_min_margin_val,numeric,Минимальная маржа
product_pricing,20,offer_margin_over,numeric,Предлагаемая маржа
product_pricing,21,rate_type_id,bigint,Тип ставки
product_pricing,22,scp_sublimit_srok,numeric,"Срок, мес."
product_pricing,23,scp_sublimit_sum,numeric,Сумма
product_pricing,24,draft_decision_id,bigint,Ссылка Проект решения (цо)
product_pricing,25,is_inactive,smallint,Недействующий (цо)
product_pricing,26,product_pricing_id,bigint,Входит в продукт (цо)
product_pricing,27,is_state_program,smallint,Применение госпрограммы
product_pricing,28,tranche_term,numeric,Срок транша (мес.)
product_pricing,29,tranche_term_days,numeric,Срок транша (дни)
product_pricing,30,g_rate_principal,numeric,"Процентная ставка, уплачиваемая Принципалом в случае уплаты Банком Бенефициару по банковской гарантии"
product_pricing,31,cr_amount,numeric,Сумма банковской гарантии
product_pricing,32,tender_guarantees,character varying,Тендерные гарантии (цо)
product_pricing,33,execution_guarantee,character varying,"_Гарантии исполнения контракта, гарантийный период, возврат аванса (цо)"
product_pricing,34,scp_min_insec_margin,numeric,Минимальная маржа на период необеспеченности
product_pricing,35,term_days,numeric,"Срок, дни"
product_pricing,36,pay_reward_cond_id,bigint,Условие уплаты вознаграждения за предоставление банковской гарантии
product_pricing,37,amdp_parent_product_id,bigint,Ссылка на продукт РУМ (ЦО)
product_pricing,38,el_individual,numeric,_EL индивидуальный (цо)
product_pricing,39,is_param_calc,smallint,Параметры рассчитаны
product_pricing,40,cr_limit_guar,numeric,Сумма лимита ответственности Гаранта
product_pricing,41,clc_grade_id,bigint,Посчитанный из АСПР грейд
product_pricing,42,pricing_compare_id,bigint,Ссылка на технический тип
product_pricing,43,scp_modif_lim_quest_id,bigint,Ссылка на вопрос по пересмотру лимита (цо)
product_pricing,44,clc_zone_id,bigint,Посчитанная из АСПР зона
product_pricing,45,scp_sublimit_sum_prev,numeric,_Сумма (текущие условия) (цо)
product_pricing,46,gsl_limit,numeric,Сумма общего лимита
product_pricing,47,type_loan_id,bigint,Форма предоставления продукта
product_pricing,48,app_product_id,bigint,Продукт
product_pricing,49,product_compound_id,bigint,Состав продукта
product_pricing,50,scp_min_margin_from,numeric,_Минимальная маржа ОТ
product_pricing,51,scp_min_margin,numeric,_Минимальная маржа ДО
product_pricing,52,min_insec_margin_from,numeric,_Минимальная маржа на период необеспеченности ОТ
product_pricing,53,min_insec_margin_to,numeric,_Минимальная маржа на период необеспеченности ДО
product_pricing,54,scp_calc_rate_val_from,numeric,_Справочно: расчетная ставка ОТ
product_pricing,55,scp_calc_rate_val_to,numeric,_Справочно: расчетная ставка ДО
product_pricing,56,is_marge_range,smallint,Применить диапазон по марже
product_pricing,57,scp_min_margin_val_from,smallint,_Минимальная маржа ОТ
product_pricing,58,offer_margin_over_from,numeric,_Предлагаемая маржа для овердрафта ОТ
product_pricing,59,offer_margin_over_to,numeric,_Предлагаемая маржа для овердрафта ДО
product_pricing,60,fix_spread_value,numeric,Спред за фиксацию
product_pricing,61,change_initiator_id,bigint,Инициатор изменений
product_pricing,62,product_pricing_cast_id,bigint,Ссылка на слепок ЦО
product_pricing,63,is_out_app,smallint,Заявки нет в Гриндате
product_pricing,64,sublimit_sum,numeric,Сумма сублимита
product_pricing,65,is_umb_surety,smallint,"Зонтичное поручительство/Обеспечение 1,2 категории качества не менее 50%"
product_pricing,66,cl_group_id,bigint,Группа клиента
scp_amd_product,1,id,bigint,ID
scp_amd_product,2,name__ru,character varying,"Name, languageSchema=ru"
scp_amd_product,3,name__en,character varying,"Name, languageSchema=en"
scp_amd_product,4,name,character varying,Name
scp_amd_product,5,create_date,timestamp without time zone,Create date
scp_amd_product,6,type_id,bigint,Тип объекта
scp_amd_product,7,status,smallint,Status
scp_amd_product,8,org_id,bigint,Подразделение
scp_amd_product,9,user_id,bigint,Пользователь
scp_amd_product,10,last_modified_date,timestamp without time zone,Last modified date
scp_amd_product,11,last_modified_user_id,bigint,"Пользователь, внесший последние изменения"
scp_amd_product,12,created_emp_id,bigint,"Сотрудник, создавший объект"
scp_amd_product,13,last_modified_emp_id,bigint,"Сотрудник, внесший последние изменения"
scp_amd_product,14,is_system,smallint,System object
scp_amd_product,15,app_product_id,bigint,Продукт
scp_amd_product,16,loan_type_id,bigint,Форма предоставления
scp_amd_product,17,scp_sublimit_val,bigint,Валюта
scp_amd_product,18,scp_general_amount,numeric,Сумма
scp_amd_product,19,amdp_parent_product_id,bigint,Ссылка на материнский продукт
scp_amd_product,20,product_term,bigint,Срок продукта (месяцев)
scp_amd_product,21,product_limitation,bigint,Срок продукта не более (дней)
scp_amd_product,22,product_compound_id,bigint,Состав продукта
scp_amd_product,23,type_gov_prog_id,bigint,Программа господдержки
scp_amd_product,24,is_inactive,smallint,Недействующий
scp_amd_product,25,blanc_deal_asmt_result,bigint,Результат оценки допустимой бланко-части по сделке
scp_amd_product,26,is_blanc_credit,smallint,Бланковое кредитование
scp_amd_product,27,monthly_contribution,numeric,"Ежемесячный взнос, руб."
scp_amd_product,28,loan_type_afhd_id,bigint,Форма предоставления (для АФХД)
scp_amd_product,29,repayment_type_id,bigint,Форма погашения
scp_amd_product,30,rate_increase_blanc,numeric,Увеличение ставки для бланкового кредитования
scp_amd_product,31,amount_blanc_deal,numeric,Сумма бланкочасти рассчитанная по сделке исходя из указанного обеспечения
scp_amd_product,32,amount_blanc_deal_clt,numeric,"Сумма БЧ по сделке, исходя из указанного обеспечения"
scp_amd_product,33,allowed_blanc_amo_prod,numeric,Допустимая сумма БЧ на продукт
scp_amd_product,34,is_contract_logic_p,smallint,Контрактная логика
scp_amd_product,35,draft_dec_id,bigint,_Ссылка на вопрос (принятие решения)
scp_amd_product,36,is_oth_bank_guar_psb,smallint,Существуют ли другие БГ в ПСБ?
scp_amd_product,37,contr_cont_id,bigint,Ссылка на контейнер контрактов
scp_amd_product,38,is_add_req_bank_guar,smallint,В контракте есть требования по другим БГ? / Есть ли БГ исполнения обязательств/возврата аванса?
scp_amd_product,39,security_part_id,bigint,Ссылка на обеспечительную часть продукта
scp_amd_product,40,is_requirements_meets,smallint,Соответствие требованиям
scp_amd_product,41,is_sdo,smallint,Относится к ГОЗ
scp_amd_product,42,comp_type_gov_prog_id,bigint,Программа господдержки (для сравнения)
scp_amd_product,43,clc_grade_id,bigint,Посчитанный из АСПР грейд
scp_amd_product,44,exp_limit_credit_rub,numeric,Расчетный лимит кредитования (руб.)
scp_amd_product,45,el_individual,numeric,EL индивидуальный
scp_amd_product,46,clc_zone_id,bigint,Посчитанная из АСПР зона
scp_amd_product,47,ident_viol_req,character varying,Выявленные нарушения требований
scp_amd_product,48,seq_subproduct_numb,character varying,Порядковый номер продукта в госзаказе
scp_amd_product,49,scp_loan_sign,bigint,Признак ссуды
scp_amd_product,50,borr_restr_seq_num,bigint,Порядковый номер реструктуризации Заемщика
scp_amd_product,51,curr_loan_debt,bigint,Валюта ОСЗ
scp_amd_product,52,amount_loan_debt,numeric,Остаток ссудной задолженности
scp_amd_product,53,product_risk_asses_id,bigint,Оценка риска по продукту
scp_amd_product,54,test_amd_proj_link,bigint,УДАЛИТЬ_Ссылка на проект решения
scp_amd_product,55,scp_prod_quest_id,bigint,Ссылка на вопрос (структура вопросов)
scp_amd_product,56,amd_proj_link,bigint,Ссылка на проект решения (ЛС логика)
scp_amd_product,57,prod_term_date,timestamp without time zone,Срок продукта (дата)
scp_amd_product,58,scp_loan_sign_id,bigint,Признак ссуды для внесения в ИСУБД Новая Афина
scp_amd_product,59,amd_prod_link_id,bigint,Ссылка на продукт РУМ (тех.)
